,Measured.1g.SAR,Average.Power,Band,Mode,Test.Position,Antenna.Vendor,Ch.,Freq.,Tune.Up.Limit,Tune.up.Scaling.Factor,Duty.Cycle..,Duty.Cycle.Scaling.Factor,Reported.1g.SAR,Antenna.Peak.gain,filename,New.Test.Position,Dist,shell.type,New.Test.Position3,predict.SAR,isfail
1,0.328,20.39,2G,802.11b 1Mbps,Bottom Face,WNC,6,2437,20.5,1.026,99.28,1.007,0.339,1.7,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Bottom,14.75,1,Face,0.306149301,pass
2,0.743,20.39,2G,802.11b 1Mbps,Edge 1,WNC,6,2437,20.5,1.026,99.28,1.007,0.767,-2.54,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.741335691,pass
3,0.742,20.39,2G,802.11b 1Mbps,Edge 1,Acon,6,2437,20.5,1.026,99.28,1.007,0.766,-2.16,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.762836862,pass
4,0.764,20.37,2G,802.11b 1Mbps,Edge 1,WNC,1,2412,20.5,1.03,99.28,1.007,0.793,-2.54,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.850250835,pass
5,0.831,20.27,2G,802.11b 1Mbps,Edge 1,WNC,11,2462,20.5,1.054,99.28,1.007,0.882,-2.54,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.874306076,pass
6,0.049,16.63,5G,802.11a 6Mbps,Bottom Face,WNC,52,5260,17,1.089,95.6,1.046,0.056,2.79,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Bottom,14.75,1,Face,0.120461368,pass
7,0.284,16.63,5G,802.11a 6Mbps,Edge 1,WNC,52,5260,17,1.089,95.6,1.046,0.323,0.7,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.631414704,pass
8,0.602,16.63,5G,802.11a 6Mbps,Edge 1,Acon,52,5260,17,1.089,95.6,1.046,0.686,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.675946234,pass
9,0.356,16.55,5G,802.11a 6Mbps,Edge 1,Acon,60,5300,17,1.109,95.6,1.046,0.413,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.768986672,pass
10,0.17,16.98,5G,802.11a 6Mbps,Bottom Face,WNC,116,5580,17,1.005,95.6,1.046,0.179,2.79,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Bottom,14.75,1,Face,0.122568765,pass
11,0.451,16.98,5G,802.11a 6Mbps,Edge 1,WNC,116,5580,17,1.005,95.6,1.046,0.474,0.7,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.738520108,pass
12,0.643,16.98,5G,802.11a 6Mbps,Edge 1,Acon,116,5580,17,1.005,95.6,1.046,0.676,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.743318587,pass
13,0.324,15,5G,802.11a 6Mbps,Edge 1,Acon,100,5500,15,1,95.6,1.046,0.339,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.413477199,pass
14,0.781,16.91,5G,802.11a 6Mbps,Edge 1,Acon,124,5620,17,1.021,95.6,1.046,0.834,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.836485557,pass
15,0.794,16.78,5G,802.11a 6Mbps,Edge 1,Acon,132,5660,17,1.052,95.6,1.046,0.874,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.85281454,pass
16,0.68,16.77,5G,802.11a 6Mbps,Edge 1,Acon,144,5720,17,1.054,95.6,1.046,0.75,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.712613486,pass
17,0.229,16.97,5G,802.11a 6Mbps,Bottom Face,WNC,149,5745,17,1.007,95.6,1.046,0.241,2.79,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Bottom,14.75,1,Face,0.113161585,pass
18,0.561,16.97,5G,802.11a 6Mbps,Edge 1,WNC,149,5745,17,1.007,95.6,1.046,0.591,0.7,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.736692953,pass
19,0.823,16.97,5G,802.11a 6Mbps,Edge 1,Acon,149,5745,17,1.007,95.6,1.046,0.867,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.797343261,pass
20,0.845,16.72,5G,802.11a 6Mbps,Edge 1,Acon,157,5785,17,1.067,95.6,1.046,0.943,-0.97,FA7N2208_R01_FCC SAR_Wistron_Starlord13 BBY AMD_Report_1215,Edge,1.5,1,Edge,0.900437215,pass
