"Bleedout","底片長度","型態","機台ID","塗佈溫度","塗佈濕度","馬達壓力","乾燥溫度一","乾燥溫度二","UV暴露","照明時間","爐子O2","底片UV溫度","張力一","張力二","彎曲張力","EPC差異一","EPC差異二","缺陷Mode"
False,"500m","Production","YC-08",27.36,50.2,0.9,120.0,122.0,1020.0,344,0.01017,89.03,4.981,2.397,3.102,0.072875336,0.075677789,0
False,"500m","Production","YC-08",27.25,51.1,0.9,120.47,122.0,1021.3,2079,0.01247,89.07,2.98,3.081,3.184,0.021426786,0.041128394,0
False,"1500m","Prototype","YC-08",27.57,50.3,0.9,120.05,122.05,1020.2,431,0.01052,89.02,1.786,4.684,3.116,0.081047776,0.097388738,0
False,"1000m","Production","YC-08",28.5,50.9,0.9,120.14,122.0,1020.3,1343,0.0116,89.05,4.068,2.574,3.135,-0.265027272,0.072084317,0
False,"1200m","Production","YC-08",28.66,50.8,0.9,120.29,122.29,1020.6,1263,0.01138,89.05,2.599,2.665,3.153,0.156794037,0.115799685,0
False,"500m","Production","YC-08",27.68,50.3,0.9,120.05,122.06,1020.2,413,0.01054,89.09,6.618,3.823,3.111,0.01981714,0.042532433,0
False,"1000m","Production","YC-08",29.0,50.9,0.9,120.0,122.02,1020.0,671,0.01076,89.04,2.935,3.239,3.103,0.039191427,0.043879582,0
False,"300m","Production","YC-08",31.05,51.5,0.9,120.08,122.09,1020.1,2426,0.01144,89.07,4.411,2.313,3.116,-0.009209176,0.038729956,0
False,"1200m","Production","YC-08",28.91,50.9,0.9,120.06,122.0,1020.1,1517,0.01144,89.08,3.924,3.103,3.117,0.205887325,0.114518732,0
False,"1000m","Production","YC-08",28.82,50.9,0.9,120.09,122.05,1020.1,1385,0.01179,89.04,4.008,2.827,3.116,0.015554183,0.031650032,0
False,"1200m","Production","YC-08",27.51,50.2,0.9,120.0,122.0,1020.0,386,0.01019,89.03,3.602,3.147,3.101,0.168420212,0.07844059,0
False,"500m","Production","YC-08",30.18,51.5,0.9,120.07,122.14,1020.2,2426,0.01361,89.13,2.135,2.125,3.116,0.037871108,0.041700247,0
False,"500m","Production","YC-08",28.09,50.5,0.9,120.04,122.08,1020.1,830,0.01066,89.1,1.906,2.748,3.114,0.005879587,0.0379382,0
False,"1500m","Production","YC-08",27.55,50.3,0.9,120.01,122.0,1020.0,417,0.01017,89.08,2.136,2.13,3.109,0.081037825,0.026581531,0
False,"1200m","Prototype","YC-08",27.59,50.3,0.9,120.05,122.05,1020.2,448,0.01045,89.02,2.171,1.77,3.116,-0.073724042,0.053454053,0
False,"300m","Production","YC-08",28.55,50.7,0.9,120.02,122.02,1020.1,1180,0.01176,89.05,4.777,4.004,3.104,0.00394786,0.102807448,0
False,"1200m","Production","YC-08",27.07,50.5,0.9,120.49,122.49,1021.3,830,0.01115,89.09,2.399,2.317,3.187,0.096157313,0.042204903,0
False,"1500m","Prototype","YC-08",27.18,50.1,0.9,120.06,122.0,1020.2,136,0.01016,89.04,4.033,2.928,3.116,0.023575014,0.069242667,0
